"date","Data","Precipitacao","TempMaxima","TempMinima","Temp.Comp.Media","Umidade.Relativa.Media","year","month","day","n","Sem_Ano","Ano"
2003-01-01,2003-01-01,"0","32.8","26.76","23.6","83","2003","01","01",1,"03/01",2003
2003-01-02,2003-01-02,"0","31.8","27.56","24.2","77.75","2003","01","02",20,"03/01",2003
2003-01-03,2003-01-03,"0","32.2","27.96","24","73.75","2003","01","03",5,"03/01",2003
2003-01-04,2003-01-04,"0","32.8","28.2","24","75.75","0","0","0",0,"03/01",2003
2003-01-05,2003-01-05,"0","32.4","27.6","23.6","79.25","2003","01","05",1,"03/01",2003
2003-01-06,2003-01-06,"0","32.6","27.96","23.8","76.5","2003","01","06",13,"03/01",2003
2003-01-07,2003-01-07,"0","32.6","28.32","24.7","76.25","2003","01","07",10,"03/01",2003
2003-01-08,2003-01-08,"0","33","28.96","24.6","72.75","2003","01","08",7,"03/02",2003
2003-01-09,2003-01-09,"0","32.8","28.9","25.2","73.75","2003","01","09",5,"03/02",2003
2003-01-10,2003-01-10,"0.2","32","28.24","25.4","76.75","2003","01","10",4,"03/02",2003
2003-01-11,2003-01-11,"0","32.6","28.22","24.6","75.5","0","0","0",0,"03/02",2003
2003-01-12,2003-01-12,"1","32.4","26.84","23.6","81.25","0","0","0",0,"03/02",2003
2003-01-13,2003-01-13,"0.6","32.4","27.7","23.3","75.25","2003","01","13",17,"03/02",2003
2003-01-14,2003-01-14,"0.8","32","27.2","25","78.5","2003","01","14",4,"03/02",2003
2003-01-15,2003-01-15,"0","32.1","26.46","23","84.25","2003","01","15",8,"03/03",2003
2003-01-16,2003-01-16,"14.2","31.3","27.12","23.3","78.75","2003","01","16",4,"03/03",2003
2003-01-17,2003-01-17,"2.8","30.8","27.02","23.5","76","2003","01","17",9,"03/03",2003
2003-01-18,2003-01-18,"0.2","31.2","27.16","23.4","78.5","0","0","0",0,"03/03",2003
2003-01-19,2003-01-19,"2.6","32.4","26.16","23.2","89.75","0","0","0",0,"03/03",2003
2003-01-20,2003-01-20,"7.4","31.4","25.76","22.4","87.5","2003","01","20",11,"03/03",2003
2003-01-21,2003-01-21,"13.8","31.4","25.8","22.8","85.25","2003","01","21",6,"03/03",2003
2003-01-22,2003-01-22,"9.6","31.6","26.5","23.3","86.25","2003","01","22",4,"03/04",2003
2003-01-23,2003-01-23,"3.9","30.4","26.68","23.8","83.75","2003","01","23",4,"03/04",2003
2003-01-24,2003-01-24,"2.6","31.4","27.36","23.4","78.75","2003","01","24",6,"03/04",2003
2003-01-25,2003-01-25,"0","29","25.54","23.6","90.75","0","0","0",0,"03/04",2003
2003-01-26,2003-01-26,"8.4","28.2","25.08","22.2","91.25","0","0","0",0,"03/04",2003
2003-01-27,2003-01-27,"2.1","30.6","25.64","22.8","82.25","2003","01","27",8,"03/04",2003
2003-01-28,2003-01-28,"1.2","26.8","24.4","23","93.25","2003","01","28",7,"03/04",2003
2003-01-29,2003-01-29,"3.4","31.6","26.6","22.6","82.5","2003","01","29",5,"03/05",2003
2003-01-30,2003-01-30,"10.4","30.2","25.6","23.6","86.5","2003","01","30",6,"03/05",2003
2003-01-31,2003-01-31,"2.8","30.2","25.8","22.6","87.75","2003","01","31",5,"03/05",2003
2003-02-01,2003-02-01,"50.8","26.8","25","23","89.75","0","0","0",0,"03/05",2003
2003-02-02,2003-02-02,"44.9","29","25.06","22.2","92","2003","02","02",2,"03/05",2003
2003-02-03,2003-02-03,"0.4","26.2","24.52","23.2","95.25","2003","02","03",13,"03/05",2003
2003-02-04,2003-02-04,"60","25","23.92","23","94.5","0","0","0",0,"03/05",2003
2003-02-05,2003-02-05,"17.4","28.6","25.46","22.6","91.25","2003","02","05",11,"03/06",2003
2003-02-06,2003-02-06,"4","30.6","26.28","23","86.5","2003","02","06",6,"03/06",2003
2003-02-07,2003-02-07,"0","31.8","27.56","24.2","79.5","2003","02","07",5,"03/06",2003
2003-02-08,2003-02-08,"3","31.4","27.44","24.8","86","0","0","0",0,"03/06",2003
2003-02-09,2003-02-09,"6.3","29.4","26.28","23.4","88.25","2003","02","09",2,"03/06",2003
2003-02-10,2003-02-10,"0.2","31.4","26.02","23","87.5","2003","02","10",19,"03/06",2003
2003-02-11,2003-02-11,"37.1","31.6","26.08","22.8","82.5","2003","02","11",4,"03/06",2003
2003-02-12,2003-02-12,"1","30.1","26","23.7","86","2003","02","12",10,"03/07",2003
2003-02-13,2003-02-13,"0.1","29","25.64","23.6","85.5","2003","02","13",5,"03/07",2003
2003-02-14,2003-02-14,"7.4","30","26.36","23.4","84.25","2003","02","14",11,"03/07",2003
2003-02-15,2003-02-15,"3.6","27.8","25.12","23.4","94.25","0","0","0",0,"03/07",2003
2003-02-16,2003-02-16,"11.4","27","24.6","23.2","96","0","0","0",0,"03/07",2003
2003-02-17,2003-02-17,"13.1","30.4","25.92","22.8","85","2003","02","17",8,"03/07",2003
2003-02-18,2003-02-18,"0.8","30.8","25.98","23.2","87.25","2003","02","18",9,"03/07",2003
2003-02-19,2003-02-19,"0","30","25.76","24","88.75","2003","02","19",6,"03/08",2003
2003-02-20,2003-02-20,"9.7","29.6","25.84","23.6","91.25","2003","02","20",8,"03/08",2003
2003-02-21,2003-02-21,"7.2","30.8","26.34","23.7","91.5","2003","02","21",4,"03/08",2003
2003-02-22,2003-02-22,"18.5","30.4","26.12","23.2","88.25","2003","02","22",1,"03/08",2003
2003-02-23,2003-02-23,"0.5","30.6","26.44","23.8","82.5","0","0","0",0,"03/08",2003
2003-02-24,2003-02-24,"1","28.4","25.28","23.2","94.25","2003","02","24",7,"03/08",2003
2003-02-25,2003-02-25,"8.8","30","25.36","23.4","93","2003","02","25",3,"03/08",2003
2003-02-26,2003-02-26,"35.2","26.8","24.72","23","94.75","2003","02","26",4,"03/09",2003
2003-02-27,2003-02-27,"12.5","30.8","26.72","23.6","83","2003","02","27",5,"03/09",2003
2003-02-28,2003-02-28,"10.4","29.8","26.16","23.8","90.75","2003","02","28",8,"03/09",2003
2003-03-01,2003-03-01,"18","29.8","26.12","23.6","89.75","2003","03","01",1,"03/09",2003
2003-03-02,2003-03-02,"10.5","30.8","26.74","23.4","83.5","0","0","0",0,"03/09",2003
2003-03-03,2003-03-03,"12.4","31","26.6","23.6","89.5","0","0","0",0,"03/09",2003
2003-03-04,2003-03-04,"19.6","30.1","26.58","24","84.75","0","0","0",0,"03/09",2003
2003-03-05,2003-03-05,"22","26.8","25.22","23.6","88.75","0","0","0",0,"03/10",2003
2003-03-06,2003-03-06,"3.6","28.6","25.44","23","90.5","2003","03","06",11,"03/10",2003
2003-03-07,2003-03-07,"12.7","29.6","25.36","23","89","2003","03","07",11,"03/10",2003
2003-03-08,2003-03-08,"15.5","28.8","25.3","22.8","89.5","0","0","0",0,"03/10",2003
2003-03-09,2003-03-09,"7.8","28.5","25.1","23","92.5","2003","03","09",1,"03/10",2003
2003-03-10,2003-03-10,"60.5","27.2","24.6","22.2","90","2003","03","10",11,"03/10",2003
2003-03-11,2003-03-11,"18.6","30.4","26","22.2","83","2003","03","11",6,"03/10",2003
2003-03-12,2003-03-12,"2.3","31.2","26.72","22.6","77.25","2003","03","12",8,"03/11",2003
2003-03-13,2003-03-13,"0","31.6","27.12","23","77.25","2003","03","13",6,"03/11",2003
2003-03-14,2003-03-14,"0","30.6","26.62","24.3","81.25","2003","03","14",4,"03/11",2003
2003-03-15,2003-03-15,"0.4","31.1","26.1","24","83","0","0","0",0,"03/11",2003
2003-03-16,2003-03-16,"0","30.8","26.52","23","79.25","0","0","0",0,"03/11",2003
2003-03-17,2003-03-17,"0.4","31.6","26.94","23.7","78.25","2003","03","17",9,"03/11",2003
2003-03-18,2003-03-18,"0","32","27.2","22.6","78.5","2003","03","18",4,"03/11",2003
2003-03-19,2003-03-19,"0","32.2","27.34","23.3","80.5","2003","03","19",1,"03/12",2003
2003-03-20,2003-03-20,"0","31.6","27.04","24.4","84.5","2003","03","20",7,"03/12",2003
2003-03-21,2003-03-21,"0.7","32","27.28","24.3","84.5","2003","03","21",6,"03/12",2003
2003-03-22,2003-03-22,"0","31.2","25.54","23","87.25","0","0","0",0,"03/12",2003
2003-03-23,2003-03-23,"93.6","31.4","26.4","22.6","88.25","0","0","0",0,"03/12",2003
2003-03-24,2003-03-24,"0","31.8","26.56","23.4","83.75","2003","03","24",4,"03/12",2003
2003-03-25,2003-03-25,"1","29.6","25.7","23.5","87","2003","03","25",5,"03/12",2003
2003-03-26,2003-03-26,"0.2","29.4","25.4","23","91","2003","03","26",3,"03/13",2003
2003-03-27,2003-03-27,"1","31","26.96","23.4","81.75","2003","03","27",1,"03/13",2003
2003-03-28,2003-03-28,"0.5","31.8","26.92","23.6","80.5","2003","03","28",1,"03/13",2003
2003-03-29,2003-03-29,"7.8","32.1","27.02","24","87.5","0","0","0",0,"03/13",2003
2003-03-30,2003-03-30,"9","30.6","26.12","24.6","94.25","0","0","0",0,"03/13",2003
2003-03-31,2003-03-31,"7.7","31.8","27.86","24","79.5","2003","03","31",5,"03/13",2003
2003-04-01,2003-04-01,"13","28.2","25.44","24","91.25","2003","04","01",5,"03/13",2003
2003-04-02,2003-04-02,"31.2","28.8","25.08","22.8","96.25","2003","04","02",2,"03/14",2003
2003-04-03,2003-04-03,"5.6","31","26.42","23.6","85.25","2003","04","03",2,"03/14",2003
2003-04-04,2003-04-04,"0.4","31.2","26.24","23","83.5","2003","04","04",6,"03/14",2003
2003-04-05,2003-04-05,"1.3","32.3","27.24","23.6","81.75","2003","04","05",1,"03/14",2003
