"date","Data","Precipitacao","TempMaxima","TempMinima","Temp.Comp.Media","Umidade.Relativa.Media","year","month","day","n","Sem_Ano","Ano"
2003-01-01,2003-01-01,2,30.5,25.96,23.9,86.25,"2003","01","01",65,"03/01",2003
2003-01-02,2003-01-02,11.3,32.3,26.96,23.5,84,"2003","01","02",223,"03/01",2003
2003-01-03,2003-01-03,34.6,30.3,26.8,24.3,88.75,"2003","01","03",239,"03/01",2003
2003-01-04,2003-01-04,3.4,32.6,28.22,24.7,82.25,"2003","01","04",115,"03/01",2003
2003-01-05,2003-01-05,0,33.1,28.36,24.3,81.5,"2003","01","05",84,"03/01",2003
2003-01-06,2003-01-06,0,34.3,28.78,25.6,73.75,"2003","01","06",389,"03/01",2003
2003-01-07,2003-01-07,0,33.5,28.4,25.1,80.25,"2003","01","07",289,"03/01",2003
2003-01-08,2003-01-08,6,32.5,29.08,25.1,77,"2003","01","08",293,"03/02",2003
2003-01-09,2003-01-09,0.4,33.1,28.66,26,84,"2003","01","09",252,"03/02",2003
2003-01-10,2003-01-10,4.4,33.1,28.66,25.8,83.5,"2003","01","10",296,"03/02",2003
2003-01-12,2003-01-12,7.6,32.3,27.44,24.1,80.75,"2003","01","12",115,"03/02",2003
2003-01-13,2003-01-13,0,33.1,27.68,25.1,80,"2003","01","13",469,"03/02",2003
2003-01-15,2003-01-15,0.4,32.1,27.6,25.1,84,"2003","01","15",249,"03/03",2003
2003-01-17,2003-01-17,0.5,31.6,27.22,24.9,82,"2003","01","17",249,"03/03",2003
2003-01-18,2003-01-18,0,32.1,28.12,25.1,75.75,"2003","01","18",105,"03/03",2003
2003-01-19,2003-01-19,0,33.3,28.6,23.9,71,"2003","01","19",81,"03/03",2003
2003-01-20,2003-01-20,0,33.9,29.12,24.5,70.25,"2003","01","20",346,"03/03",2003
2003-01-21,2003-01-21,0,34.1,29.24,25.1,63.75,"2003","01","21",227,"03/03",2003
2003-01-24,2003-01-24,0,28.3,26.2,24.9,87,"2003","01","24",228,"03/04",2003
2003-01-25,2003-01-25,1.8,29.1,26.16,24.1,90,"2003","01","25",103,"03/04",2003
2003-01-26,2003-01-26,11.4,27.1,24.88,23.3,92,"2003","01","26",86,"03/04",2003
2003-01-27,2003-01-27,4.8,32.1,27.12,23.1,81.25,"2003","01","27",349,"03/04",2003
2003-01-29,2003-01-29,0.1,30.6,27.68,25.8,82.5,"2003","01","29",199,"03/05",2003
2003-01-30,2003-01-30,0,31.5,27.04,24.5,83,"2003","01","30",203,"03/05",2003
2003-02-01,2003-02-01,0,29.7,26.08,23.7,87.5,"2003","02","01",113,"03/05",2003
2003-02-02,2003-02-02,17.8,29.1,25.52,23.1,93,"2003","02","02",79,"03/05",2003
2003-02-03,2003-02-03,19.2,31.7,26.72,23.7,85,"2003","02","03",402,"03/05",2003
2003-02-04,2003-02-04,2.6,31.1,26.38,24.2,92,"2003","02","04",324,"03/05",2003
2003-02-05,2003-02-05,4.8,31.9,27.4,24.3,83,"2003","02","05",319,"03/06",2003
2003-02-06,2003-02-06,4.2,31.9,27.36,24.1,81.5,"2003","02","06",271,"03/06",2003
2003-02-07,2003-02-07,0,32.9,27.28,24.5,82.75,"2003","02","07",274,"03/06",2003
2003-02-08,2003-02-08,5.6,29.7,25.52,23.5,94.5,"2003","02","08",88,"03/06",2003
2003-02-09,2003-02-09,18,28.3,25.46,23.4,89.75,"2003","02","09",68,"03/06",2003
2003-02-10,2003-02-10,1.4,30.2,26.5,23.9,87.25,"2003","02","10",333,"03/06",2003
2003-02-11,2003-02-11,0,30.5,27.04,24.1,80.25,"2003","02","11",295,"03/06",2003
2003-02-12,2003-02-12,27.6,32.5,27.36,23.9,75.25,"2003","02","12",244,"03/07",2003
2003-02-13,2003-02-13,0,33.1,28.48,24.3,73.75,"2003","02","13",215,"03/07",2003
2003-02-14,2003-02-14,0,33.5,29.62,26.4,66.25,"2003","02","14",205,"03/07",2003
2003-02-15,2003-02-15,0,33.2,28.68,25.8,73.75,"2003","02","15",85,"03/07",2003
2003-02-16,2003-02-16,0,33.8,28.78,25.1,75,"2003","02","16",60,"03/07",2003
2003-02-17,2003-02-17,0,31.9,27.58,25.6,81.25,"2003","02","17",326,"03/07",2003
2003-02-18,2003-02-18,0,33.7,26.92,24.5,85.5,"2003","02","18",251,"03/07",2003
2003-02-19,2003-02-19,32.6,31.5,27.36,24.3,80.5,"2003","02","19",215,"03/08",2003
2003-02-20,2003-02-20,0,33.7,28.64,25.1,79,"2003","02","20",218,"03/08",2003
2003-02-21,2003-02-21,0,33.4,26.86,24.5,86.25,"2003","02","21",224,"03/08",2003
2003-02-22,2003-02-22,138.8,32.6,27.38,23.3,82,"2003","02","22",100,"03/08",2003
2003-02-23,2003-02-23,1.2,29.9,26.04,24.5,88.75,"2003","02","23",81,"03/08",2003
2003-02-24,2003-02-24,40.6,25.3,24.2,23.3,91,"2003","02","24",344,"03/08",2003
2003-02-25,2003-02-25,25.4,32.1,26.96,22.7,82.25,"2003","02","25",382,"03/08",2003
2003-02-26,2003-02-26,0,33.7,28.04,23.9,80.5,"2003","02","26",292,"03/09",2003
2003-02-27,2003-02-27,0.3,31.8,26.9,24.3,87.5,"2003","02","27",306,"03/09",2003
2003-02-28,2003-02-28,0.8,29.2,26.58,23.7,87.5,"2003","02","28",246,"03/09",2003
2003-03-01,2003-03-01,19.6,32.7,27.2,23.7,89.25,"2003","03","01",114,"03/09",2003
2003-03-02,2003-03-02,5.4,30.1,26.28,23.7,92.5,"2003","03","02",125,"03/09",2003
2003-03-03,2003-03-03,8.4,26.7,25.12,23.9,94,"2003","03","03",409,"03/09",2003
2003-03-04,2003-03-04,2.4,31.3,27,24.1,86.75,"2003","03","04",164,"03/09",2003
2003-03-05,2003-03-05,14.8,30.4,25.84,23.6,91.25,"2003","03","05",314,"03/10",2003
2003-03-06,2003-03-06,17.6,30.5,25.64,23.5,88.25,"2003","03","06",445,"03/10",2003
2003-03-07,2003-03-07,10.6,32.9,26.4,23.3,82.5,"2003","03","07",358,"03/10",2003
2003-03-08,2003-03-08,0,31.7,26.92,23.5,79.25,"2003","03","08",155,"03/10",2003
2003-03-09,2003-03-09,0,31.5,26.56,23.3,87.25,"2003","03","09",109,"03/10",2003
2003-03-10,2003-03-10,4,31.1,27.24,24.7,88.25,"2003","03","10",466,"03/10",2003
2003-03-11,2003-03-11,20.6,31.3,26.78,23.6,86.5,"2003","03","11",266,"03/10",2003
2003-03-12,2003-03-12,0.8,32.5,27.74,23.4,76.5,"2003","03","12",276,"03/11",2003
2003-03-13,2003-03-13,0,32.9,28.28,23.7,74.75,"2003","03","13",249,"03/11",2003
2003-03-14,2003-03-14,0,30.9,26.88,23.7,83.25,"2003","03","14",246,"03/11",2003
2003-03-15,2003-03-15,2.9,32.7,27.36,25.1,82.25,"2003","03","15",103,"03/11",2003
2003-03-16,2003-03-16,0,32.7,28.04,24.9,79.25,"2003","03","16",93,"03/11",2003
2003-03-17,2003-03-17,0,30.5,26.62,24.8,88.25,"2003","03","17",400,"03/11",2003
2003-03-18,2003-03-18,2.1,26.9,25.04,24.1,94.5,"2003","03","18",240,"03/11",2003
2003-03-19,2003-03-19,0.1,32.3,26.96,23.1,83.75,"2003","03","19",282,"03/12",2003
2003-03-20,2003-03-20,2,33.1,28.2,24.1,76,"2003","03","20",278,"03/12",2003
2003-03-21,2003-03-21,18,28.9,25.16,23.1,93.5,"2003","03","21",222,"03/12",2003
2003-03-22,2003-03-22,0.7,30.7,26.72,23.3,84,"2003","03","22",153,"03/12",2003
2003-03-23,2003-03-23,0,34,28.3,23.9,78,"2003","03","23",128,"03/12",2003
2003-03-24,2003-03-24,0,31.6,26.74,24.3,86,"2003","03","24",477,"03/12",2003
